rol,permiso
ADMIN,view_stock
ADMIN,manage_inventory
ADMIN,view_traspasos
ADMIN,view_carteles
ADMIN,view_insumos
ADMIN,manage_insumos
ADMIN,manage_locations
ADMIN,view_analisis
ADMIN,analisis_tab_resumen
ADMIN,analisis_tab_antiguos
ADMIN,analisis_tab_antiguos_disp
ADMIN,analisis_tab_no_activos
ADMIN,analisis_tab_duplicados
ADMIN,analisis_tab_anomalias
ADMIN,analisis_tab_detalle
ADMIN,view_conteo
ADMIN,manage_conteo
ADMIN,supervise_conteo
ADMIN,conteo_tab_contar
ADMIN,conteo_tab_sesiones
ADMIN,conteo_tab_conciliacion
ADMIN,conteo_tab_ajuste
ADMIN,conteo_tab_bloques
ADMIN,conteo_tab_proyeccion
ADMIN,view_entry
ADMIN,process_entry
ADMIN,view_reception
ADMIN,process_reception
ADMIN,manage_data_import
ADMIN,view_historial_nv
ADMIN,view_dispatch_control
ADMIN,view_batches
ADMIN,view_sales_status
ADMIN,view_addresses
ADMIN,view_locations
ADMIN,view_fichas
ADMIN,manage_fichas
ADMIN,export_data
ADMIN,manage_monitoreo
ADMIN,manage_quality
ADMIN,view_acciones_calidad
ADMIN,view_panel
ADMIN,manage_panel
ADMIN,approve_panel_reopen_nv
ADMIN,panel_ingresar
ADMIN,panel_info
ADMIN,panel_tv
ADMIN,panel_builder
ADMIN,view_postventa
ADMIN,manage_postventa
ADMIN,supervise_postventa
ADMIN,pv_tab_tickets
ADMIN,pv_tab_bandeja
ADMIN,pv_tab_calendario
ADMIN,pv_tab_nuevo
ADMIN,pv_tab_dashboard
ADMIN,pv_tab_tecnicos
ADMIN,view_users
ADMIN,manage_users
ADMIN,view_roles
ADMIN,manage_roles
ADMIN,view_views
ADMIN,manage_views
ADMIN,manage_tickets
ADMIN,admin_upload_history
ADMIN,admin_monitor
ADMIN,deploy_ota
ADMIN,view_workflows
ADMIN,manage_workflows
ADMIN,view_eventos
ADMIN,manage_eventos
ADMIN,view_api
ADMIN,manage_api
ADMIN,manage_cleanup
ADMIN,view_rendiciones
ADMIN,manage_rendiciones
ADMIN,view_tms
ADMIN,manage_tms
ADMIN,supervise_tms
CEO_PTM,panel_info
CEO_PTM,process_reception
CEO_PTM,view_panel
CEO_PTM,panel_tv
CONTROL_CALIDAD,view_entry
CONTROL_CALIDAD,process_entry
CONTROL_CALIDAD,view_reception
CONTROL_CALIDAD,process_reception
CONTROL_CALIDAD,manage_monitoreo
CONTROL_CALIDAD,manage_quality
CONTROL_CALIDAD,view_acciones_calidad
CONTROL_CALIDAD,view_batches
CONTROL_CALIDAD,view_locations
CONTROL_CALIDAD,view_addresses
CONTROL_CALIDAD,view_fichas
CONTROL_CALIDAD,view_carteles
CONTROL_CALIDAD,view_historial_nv
CONTROL_CALIDAD,panel_tv
GERENCIA,view_entry
GERENCIA,process_entry
GERENCIA,view_reception
GERENCIA,process_reception
GERENCIA,manage_data_import
GERENCIA,manage_monitoreo
GERENCIA,manage_quality
GERENCIA,view_acciones_calidad
GERENCIA,view_postventa
GERENCIA,manage_postventa
GERENCIA,supervise_postventa
GERENCIA,pv_tab_tickets
GERENCIA,pv_tab_bandeja
GERENCIA,pv_tab_calendario
GERENCIA,pv_tab_nuevo
GERENCIA,pv_tab_dashboard
GERENCIA,pv_tab_tecnicos
GERENCIA,view_panel
GERENCIA,manage_panel
GERENCIA,approve_panel_reopen_nv
GERENCIA,panel_ingresar
GERENCIA,panel_info
GERENCIA,panel_tv
GERENCIA,panel_builder
GERENCIA,view_batches
GERENCIA,view_addresses
GERENCIA,view_locations
INVENTARIO_,view_stock
INVENTARIO_,manage_inventory
INVENTARIO_,view_traspasos
INVENTARIO_,view_carteles
INVENTARIO_,view_insumos
INVENTARIO_,manage_insumos
INVENTARIO_,manage_locations
INVENTARIO_,view_analisis
INVENTARIO_,analisis_tab_resumen
INVENTARIO_,analisis_tab_antiguos
INVENTARIO_,analisis_tab_antiguos_disp
INVENTARIO_,analisis_tab_no_activos
INVENTARIO_,analisis_tab_duplicados
INVENTARIO_,analisis_tab_anomalias
INVENTARIO_,analisis_tab_detalle
INVENTARIO_,view_conteo
INVENTARIO_,manage_conteo
INVENTARIO_,conteo_tab_contar
INVENTARIO_,conteo_tab_sesiones
INVENTARIO_,conteo_tab_conciliacion
INVENTARIO_,conteo_tab_ajuste
INVENTARIO_,conteo_tab_bloques
INVENTARIO_,conteo_tab_proyeccion
INVENTARIO_,view_entry
INVENTARIO_,process_entry
INVENTARIO_,view_reception
INVENTARIO_,process_reception
INVENTARIO_,manage_data_import
INVENTARIO_,view_batches
INVENTARIO_,view_locations
INVENTARIO_,view_addresses
OPERADOR,view_entry
OPERADOR,view_reception
OPERADOR,view_batches
OPERADOR,view_locations
OPERADOR,view_sales_status
OPERADOR,view_carteles
OPERARIO_3,view_batches
OPERARIO_3,view_addresses
OPERARIO_3,view_locations
OPERARIO_3,view_entry
OPERARIO_3,view_reception
OPERARIO_3,manage_data_import
SUPERVISOR,view_panel
SUPERVISOR,panel_ingresar
SUPERVISOR,panel_info
SUPERVISOR,manage_panel
SUPERVISOR_,view_entry
SUPERVISOR_,process_entry
SUPERVISOR_,view_reception
SUPERVISOR_,manage_data_import
SUPERVISOR_,view_carteles
SUPERVISOR_,view_historial_nv
SUPERVISOR_,view_batches
SUPERVISOR_,view_addresses
SUPERVISOR_,view_locations
SUPERVISOR_,manage_panel
SUPERVISOR_,panel_ingresar
SUPERVISOR_,panel_info
